0.4070000000	2.0580000000	0.7640000000	0.5430000000	2.0200000000	0.1800000000
2.6680000000	2.3090000000	0.7740000000	0.0050000000	2.1630000000	0.1800000000
1.3420000000	1.3540000000	0.3020000000	0.9550000000	2.6010000000	0.1800000000
2.2460000000	1.5050000000	0.1410000000	0.4420000000	2.8940000000	0.1800000000
2.2610000000	2.1580000000	0.4120000000	0.2110000000	2.0730000000	0.1800000000
2.5630000000	0.9400000000	0.1460000000	0.1960000000	2.5930000000	0.1800000000
0.9050000000	1.5180000000	0.4820000000	0.7890000000	2.4650000000	0.1800000000
1.1610000000	2.4470000000	0.1160000000	0.0800000000	2.3890000000	0.1800000000
1.3120000000	1.0780000000	0.0000000000	0.5880000000	2.6980000000	0.1800000000
1.3870000000	2.0700000000	0.4420000000	0.3670000000	2.1030000000	0.1800000000
1.2960000000	2.6480000000	0.0300000000	0.1010000000	2.6380000000	0.1800000000
2.7890000000	1.2290000000	0.4220000000	0.4020000000	2.0800000000	0.1800000000
2.5480000000	2.2460000000	0.8890000000	0.0650000000	1.5150000000	0.1800000000
2.7290000000	2.4970000000	0.5480000000	0.6180000000	2.4500000000	0.1800000000
1.2810000000	1.3040000000	0.4670000000	0.3820000000	1.6510000000	0.1800000000
0.5580000000	1.4800000000	0.3770000000	0.6530000000	2.4950000000	0.1800000000
2.4720000000	1.8940000000	0.9450000000	0.7690000000	1.6730000000	0.1800000000
0.3020000000	2.5600000000	0.3820000000	0.7440000000	1.8920000000	0.1800000000
2.3220000000	2.8620000000	0.7990000000	0.4370000000	2.9920000000	0.1800000000
0.9800000000	2.4850000000	0.9550000000	0.3120000000	1.5900000000	0.1800000000
1.9600000000	1.5800000000	0.6580000000	0.6080000000	2.1480000000	0.1800000000
2.8940000000	2.7490000000	0.2210000000	0.5280000000	2.8640000000	0.1800000000
0.0600000000	0.7760000000	0.7540000000	0.1360000000	1.8390000000	0.1800000000
2.1260000000	0.6010000000	0.7090000000	0.4670000000	2.8270000000	0.1800000000
2.7590000000	2.9250000000	0.7340000000	0.2710000000	2.1410000000	0.1800000000
0.3620000000	0.9520000000	0.0350000000	0.0900000000	1.8540000000	0.1800000000
2.3070000000	2.3340000000	0.1660000000	0.7940000000	2.8120000000	0.1800000000
2.4120000000	0.7010000000	0.5780000000	0.6130000000	2.3590000000	0.1800000000
1.9450000000	0.8520000000	0.0050000000	0.9650000000	1.6660000000	0.1800000000
1.7790000000	2.3720000000	0.9800000000	0.5080000000	2.3440000000	0.1800000000
3.0000000000	2.9120000000	0.4470000000	0.1810000000	2.2990000000	0.1800000000
2.0500000000	0.5380000000	0.1560000000	0.4720000000	1.7860000000	0.1800000000
2.6230000000	1.8820000000	0.9300000000	0.1860000000	2.8340000000	0.1800000000
2.7740000000	1.0400000000	0.3070000000	0.6280000000	2.6460000000	0.1800000000
2.4270000000	2.4220000000	0.4570000000	0.7390000000	2.3140000000	0.1800000000
